"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","Status"
"good-girl-so-very-80-ml","Good Girl So Very 80 ML","<p>Good Girl So Very 80 ML: una fragancia floral de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Femenino","femenino, dama, caja, floral, carolina-herrera","TRUE","Title","Default Title","shopify","3","deny","manual","126000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","Good Girl So Very 80 ML","active"
"good-girl-supreme-80-ml","Good Girl Supreme 80 ML","<p>Good Girl Supreme 80 ML: una fragancia oriental de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Femenino","femenino, dama, caja, oriental, carolina-herrera","TRUE","Title","Default Title","shopify","13","deny","manual","124000.00","155000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","Good Girl Supreme 80 ML","active"
"good-girl-fantastic-pink-80-ml","Good Girl Fantastic Pink 80 ML","<p>Good Girl Fantastic Pink 80 ML: una fragancia gourmand de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Femenino","femenino, dama, caja, gourmand, carolina-herrera","TRUE","Title","Default Title","shopify","5","deny","manual","116000.00","145000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","Good Girl Fantastic Pink 80 ML","active"
"212-heroes-woman-80-ml","212 Heroes Woman 80 ML","<p>212 Heroes Woman 80 ML: una fragancia floral de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Femenino","femenino, dama, caja, floral, carolina-herrera","TRUE","Title","Default Title","shopify","7","deny","manual","116000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 Heroes Woman 80 ML","active"
"212-vip-dama-80-ml","212 VIP Dama 80 ML","<p>212 VIP Dama 80 ML: una fragancia floral de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Femenino","femenino, dama, caja, floral, carolina-herrera","TRUE","Title","Default Title","shopify","15","deny","manual","120000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 VIP Dama 80 ML","active"
"212-woman-100-ml","212 Woman 100 ML","<p>212 Woman 100 ML: una fragancia floral de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Femenino","femenino, dama, caja, floral, carolina-herrera","TRUE","Title","Default Title","shopify","9","deny","manual","120000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 Woman 100 ML","active"
"212-sexy-woman-100-ml","212 Sexy Woman 100 ML","<p>212 Sexy Woman 100 ML: una fragancia oriental de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Femenino","femenino, dama, caja, oriental, carolina-herrera","TRUE","Title","Default Title","shopify","12","deny","manual","126000.00","158000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 Sexy Woman 100 ML","active"
"212-vip-red-rose-80-ml","212 VIP Red Rose 80 ML","<p>212 VIP Red Rose 80 ML: una fragancia floral de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Femenino","femenino, dama, caja, floral, carolina-herrera","TRUE","Title","Default Title","shopify","10","deny","manual","116000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 VIP Red Rose 80 ML","active"
"212-vip-wins-woman-80-ml","212 VIP Wins Woman 80 ML","<p>212 VIP Wins Woman 80 ML: una fragancia floral de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Femenino","femenino, dama, caja, floral, carolina-herrera","TRUE","Title","Default Title","shopify","13","deny","manual","116000.00","145000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 VIP Wins Woman 80 ML","active"
"212-vip-wild-party-dama-80-ml","212 VIP Wild Party Dama 80 ML","<p>212 VIP Wild Party Dama 80 ML: una fragancia floral de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Femenino","femenino, dama, caja, floral, carolina-herrera","TRUE","Title","Default Title","shopify","10","deny","manual","116000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 VIP Wild Party Dama 80 ML","active"
"bombshell-paradise-100-ml","Bombshell Paradise 100 ML","<p>Bombshell Paradise 100 ML: una fragancia floral de Victoria's Secret. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Victoria's Secret","Perfume Femenino","femenino, dama, caja, floral, victoria-s-secret","TRUE","Title","Default Title","shopify","12","deny","manual","116000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Victoria's%20Secret","1","Bombshell Paradise 100 ML","active"
"bombshell-gold-100-ml","Bombshell Gold 100 ML","<p>Bombshell Gold 100 ML: una fragancia floral de Victoria's Secret. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Victoria's Secret","Perfume Femenino","femenino, dama, caja, floral, victoria-s-secret","TRUE","Title","Default Title","shopify","8","deny","manual","116000.00","145000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Victoria's%20Secret","1","Bombshell Gold 100 ML","active"
"bombshell-intense-100-ml","Bombshell Intense 100 ML","<p>Bombshell Intense 100 ML: una fragancia floral de Victoria's Secret. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Victoria's Secret","Perfume Femenino","femenino, dama, caja, floral, victoria-s-secret","TRUE","Title","Default Title","shopify","5","deny","manual","116000.00","145000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Victoria's%20Secret","1","Bombshell Intense 100 ML","active"
"bombshell-seduction-100-ml","Bombshell Seduction 100 ML","<p>Bombshell Seduction 100 ML: una fragancia floral de Victoria's Secret. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Victoria's Secret","Perfume Femenino","femenino, dama, caja, floral, victoria-s-secret","TRUE","Title","Default Title","shopify","10","deny","manual","116000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Victoria's%20Secret","1","Bombshell Seduction 100 ML","active"
"bombshell-night-100-ml","Bombshell Night 100 ML","<p>Bombshell Night 100 ML: una fragancia oriental de Victoria's Secret. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Victoria's Secret","Perfume Femenino","femenino, dama, caja, oriental, victoria-s-secret","TRUE","Title","Default Title","shopify","10","deny","manual","126000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Victoria's%20Secret","1","Bombshell Night 100 ML","active"
"victoria-very-sexy-sea-100-ml","Victoria Very Sexy Sea 100 ML","<p>Victoria Very Sexy Sea 100 ML: una fragancia floral de Victoria's Secret. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Victoria's Secret","Perfume Femenino","femenino, dama, caja, floral, victoria-s-secret","TRUE","Title","Default Title","shopify","5","deny","manual","130000.00","163000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Victoria's%20Secret","1","Victoria Very Sexy Sea 100 ML","active"
"victoria-very-sexy-oasis-100-ml","Victoria Very Sexy Oasis 100 ML","<p>Victoria Very Sexy Oasis 100 ML: una fragancia floral de Victoria's Secret. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Victoria's Secret","Perfume Femenino","femenino, dama, caja, floral, victoria-s-secret","TRUE","Title","Default Title","shopify","8","deny","manual","130000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Victoria's%20Secret","1","Victoria Very Sexy Oasis 100 ML","active"
"victoria-very-sexy-night-100-ml","Victoria Very Sexy Night 100 ML","<p>Victoria Very Sexy Night 100 ML: una fragancia oriental de Victoria's Secret. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Victoria's Secret","Perfume Femenino","femenino, dama, caja, oriental, victoria-s-secret","TRUE","Title","Default Title","shopify","7","deny","manual","130000.00","163000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Victoria's%20Secret","1","Victoria Very Sexy Night 100 ML","active"
"love-me-tous-onyx-90-ml","Love Me Tous Onyx 90 ML","<p>Love Me Tous Onyx 90 ML: una fragancia floral de Tous. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Tous","Perfume Femenino","femenino, dama, caja, floral, tous","TRUE","Title","Default Title","shopify","13","deny","manual","126000.00","158000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Tous","1","Love Me Tous Onyx 90 ML","active"
"love-me-tous-esmeralda-90-ml","Love Me Tous Esmeralda 90 ML","<p>Love Me Tous Esmeralda 90 ML: una fragancia floral de Tous. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Tous","Perfume Femenino","femenino, dama, caja, floral, tous","TRUE","Title","Default Title","shopify","5","deny","manual","126000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Tous","1","Love Me Tous Esmeralda 90 ML","active"
"cloud-pink-ariana-grande-100-ml","Cloud Pink Ariana Grande 100 ML","<p>Cloud Pink Ariana Grande 100 ML: una fragancia gourmand de Ariana Grande. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Ariana Grande","Perfume Femenino","femenino, dama, caja, gourmand, ariana-grande","TRUE","Title","Default Title","shopify","12","deny","manual","126000.00","158000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ariana%20Grande","1","Cloud Pink Ariana Grande 100 ML","active"
"thank-u-next-ariana-grande-100-ml","Thank U Next Ariana Grande 100 ML","<p>Thank U Next Ariana Grande 100 ML: una fragancia gourmand de Ariana Grande. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Ariana Grande","Perfume Femenino","femenino, dama, caja, gourmand, ariana-grande","TRUE","Title","Default Title","shopify","3","deny","manual","126000.00","158000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ariana%20Grande","1","Thank U Next Ariana Grande 100 ML","active"
"orientica-rouge-body-spray-200-ml","Orientica Rouge Body Spray 200 ML","<p>Orientica Rouge Body Spray 200 ML: una fragancia oriental de Orientica. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Orientica","Body Spray","body-spray, unisex, spray, oriental, orientica","TRUE","Title","Default Title","shopify","12","deny","manual","62000.00","78000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Orientica","1","Orientica Rouge Body Spray 200 ML","active"
"orientica-velvet-body-spray-200-ml","Orientica Velvet Body Spray 200 ML","<p>Orientica Velvet Body Spray 200 ML: una fragancia oriental de Orientica. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Orientica","Body Spray","body-spray, unisex, spray, oriental, orientica","TRUE","Title","Default Title","shopify","4","deny","manual","62000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Orientica","1","Orientica Velvet Body Spray 200 ML","active"
"azure-fantasy-body-spray-200-ml","Azure Fantasy Body Spray 200 ML","<p>Azure Fantasy Body Spray 200 ML: una fragancia fresca de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Body Spray","body-spray, caballero, spray, fresco, armaf","TRUE","Title","Default Title","shopify","4","deny","manual","62000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Azure Fantasy Body Spray 200 ML","active"
"oud-saffron-body-spray-200-ml","Oud Saffron Body Spray 200 ML","<p>Oud Saffron Body Spray 200 ML: una fragancia oriental de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Body Spray","body-spray, caballero, spray, oriental, armaf","TRUE","Title","Default Title","shopify","15","deny","manual","62000.00","78000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Oud Saffron Body Spray 200 ML","active"
"lattafa-sublime-body-spray-200-ml","Lattafa Sublime Body Spray 200 ML","<p>Lattafa Sublime Body Spray 200 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Body Spray","body-spray, unisex, spray, oriental, lattafa","TRUE","Title","Default Title","shopify","5","deny","manual","62000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Lattafa Sublime Body Spray 200 ML","active"
"lattafa-amethysta-body-spray-200-ml","Lattafa Amethysta Body Spray 200 ML","<p>Lattafa Amethysta Body Spray 200 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Body Spray","body-spray, unisex, spray, oriental, lattafa","TRUE","Title","Default Title","shopify","14","deny","manual","62000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Lattafa Amethysta Body Spray 200 ML","active"
"lattafa-oud-for-glory-body-spray-200-ml","Lattafa Oud For Glory Body Spray 200 ML","<p>Lattafa Oud For Glory Body Spray 200 ML: una fragancia amaderada de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Body Spray","body-spray, caballero, spray, amaderado, lattafa","TRUE","Title","Default Title","shopify","11","deny","manual","62000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Lattafa Oud For Glory Body Spray 200 ML","active"
"lattafa-noble-blush-body-spray-200-ml","Lattafa Noble Blush Body Spray 200 ML","<p>Lattafa Noble Blush Body Spray 200 ML: una fragancia floral de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Body Spray","body-spray, dama, spray, floral, lattafa","TRUE","Title","Default Title","shopify","15","deny","manual","58000.00","73000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Lattafa Noble Blush Body Spray 200 ML","active"
"lattafa-honor-y-glory-body-spray-200-ml","Lattafa Honor & Glory Body Spray 200 ML","<p>Lattafa Honor & Glory Body Spray 200 ML: una fragancia amaderada de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Body Spray","body-spray, unisex, spray, amaderado, lattafa","TRUE","Title","Default Title","shopify","6","deny","manual","62000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Lattafa Honor & Glory Body Spray 200 ML","active"
"jean-paul-divine-body-spray-200-ml","Jean Paul Divine Body Spray 200 ML","<p>Jean Paul Divine Body Spray 200 ML: una fragancia floral de Jean Paul Gaultier. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Jean Paul Gaultier","Body Spray","body-spray, dama, spray, floral, jean-paul-gaultier","TRUE","Title","Default Title","shopify","13","deny","manual","58000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Jean%20Paul%20Gaultier","1","Jean Paul Divine Body Spray 200 ML","active"
"ultra-violet-body-spray-200-ml","Ultra Violet Body Spray 200 ML","<p>Ultra Violet Body Spray 200 ML: una fragancia floral de Al Haramain. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Al Haramain","Body Spray","body-spray, dama, spray, floral, al-haramain","TRUE","Title","Default Title","shopify","6","deny","manual","58000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Al%20Haramain","1","Ultra Violet Body Spray 200 ML","active"
"mandarin-sky-body-spray-200-ml","Mandarin Sky Body Spray 200 ML","<p>Mandarin Sky Body Spray 200 ML: una fragancia fresca de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Body Spray","body-spray, unisex, spray, fresco, armaf","TRUE","Title","Default Title","shopify","6","deny","manual","62000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Mandarin Sky Body Spray 200 ML","active"
"odyssey-candee-body-spray-200-ml","Odyssey Candee Body Spray 200 ML","<p>Odyssey Candee Body Spray 200 ML: una fragancia gourmand de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Body Spray","body-spray, dama, spray, gourmand, armaf","TRUE","Title","Default Title","shopify","14","deny","manual","58000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Odyssey Candee Body Spray 200 ML","active"
"club-de-nuit-untold-body-spray-200-ml","Club de Nuit Untold Body Spray 200 ML","<p>Club de Nuit Untold Body Spray 200 ML: una fragancia amaderada de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Body Spray","body-spray, unisex, spray, amaderado, armaf","TRUE","Title","Default Title","shopify","8","deny","manual","62000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Club de Nuit Untold Body Spray 200 ML","active"
"thank-u-next-body-spray-200-ml","Thank U Next Body Spray 200 ML","<p>Thank U Next Body Spray 200 ML: una fragancia gourmand de Ariana Grande. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Ariana Grande","Body Spray","body-spray, dama, spray, gourmand, ariana-grande","TRUE","Title","Default Title","shopify","12","deny","manual","58000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ariana%20Grande","1","Thank U Next Body Spray 200 ML","active"
"cloud-body-spray-200-ml","Cloud Body Spray 200 ML","<p>Cloud Body Spray 200 ML: una fragancia gourmand de Ariana Grande. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Ariana Grande","Body Spray","body-spray, dama, spray, gourmand, ariana-grande","TRUE","Title","Default Title","shopify","3","deny","manual","58000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ariana%20Grande","1","Cloud Body Spray 200 ML","active"
"khamrah-lattafa-body-spray-200-ml","Khamrah Lattafa Body Spray 200 ML","<p>Khamrah Lattafa Body Spray 200 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Body Spray","body-spray, unisex, spray, gourmand, lattafa","TRUE","Title","Default Title","shopify","8","deny","manual","62000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Khamrah Lattafa Body Spray 200 ML","active"
"asad-zanzibar-body-spray-200-ml","Asad Zanzibar Body Spray 200 ML","<p>Asad Zanzibar Body Spray 200 ML: una fragancia amaderada de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Body Spray","body-spray, caballero, spray, amaderado, lattafa","TRUE","Title","Default Title","shopify","3","deny","manual","62000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Asad Zanzibar Body Spray 200 ML","active"
"yara-candy-body-spray-200-ml","Yara Candy Body Spray 200 ML","<p>Yara Candy Body Spray 200 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Body Spray","body-spray, dama, spray, gourmand, lattafa","TRUE","Title","Default Title","shopify","8","deny","manual","58000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Yara Candy Body Spray 200 ML","active"
"set-mini-club-de-nuit-30-ml-men","Set Mini Club de Nuit 30 ML Men","<p>Set Mini Club de Nuit 30 ML Men: una fragancia amaderada de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Set de Regalo","set, caballero, amaderado, armaf","TRUE","Title","Default Title","shopify","14","deny","manual","190000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Set Mini Club de Nuit 30 ML Men","active"
"set-odyssey-mini-50-ml","Set Odyssey Mini 50 ML","<p>Set Odyssey Mini 50 ML: una fragancia oriental de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Set de Regalo","set, unisex, oriental, armaf","TRUE","Title","Default Title","shopify","5","deny","manual","190000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Set Odyssey Mini 50 ML","active"
"set-mini-yara-30-ml-x4-mixto","Set Mini Yara 30 ML x4 Mixto","<p>Set Mini Yara 30 ML x4 Mixto: una fragancia floral de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Set de Regalo","set, unisex, floral, lattafa","TRUE","Title","Default Title","shopify","5","deny","manual","170000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Set Mini Yara 30 ML x4 Mixto","active"
"set-mini-moschino-30-ml","Set Mini Moschino 30 ML","<p>Set Mini Moschino 30 ML: una fragancia gourmand de Moschino. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Moschino","Set de Regalo","set, dama, gourmand, moschino","TRUE","Title","Default Title","shopify","13","deny","manual","176000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Moschino","1","Set Mini Moschino 30 ML","active"
"set-mini-ilmin-30-ml","Set Mini Ilmin 30 ML","<p>Set Mini Ilmin 30 ML: una fragancia amaderada de Ilmin. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Ilmin","Set de Regalo","set, unisex, amaderado, ilmin","TRUE","Title","Default Title","shopify","8","deny","manual","200000.00","250000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ilmin","1","Set Mini Ilmin 30 ML","active"
"set-mini-orientica-collection-5-ml","Set Mini Orientica Collection 5 ML","<p>Set Mini Orientica Collection 5 ML: una fragancia oriental de Orientica. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Orientica","Set de Regalo","set, unisex, oriental, orientica","TRUE","Title","Default Title","shopify","10","deny","manual","210000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Orientica","1","Set Mini Orientica Collection 5 ML","active"
"set-bolso-crema-perfume-60-ml-khamrah","Set Bolso + Crema + Perfume 60 ML + Khamrah","<p>Set Bolso + Crema + Perfume 60 ML + Khamrah: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Set de Regalo","set, unisex, gourmand, lattafa","TRUE","Title","Default Title","shopify","5","deny","manual","210000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Set Bolso + Crema + Perfume 60 ML + Khamrah","active"
"set-bolso-crema-perfume-60-ml-mandarin-sky","Set Bolso + Crema + Perfume 60 ML + Mandarin Sky","<p>Set Bolso + Crema + Perfume 60 ML + Mandarin Sky: una fragancia fresca de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Set de Regalo","set, unisex, fresco, armaf","TRUE","Title","Default Title","shopify","14","deny","manual","210000.00","263000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Set Bolso + Crema + Perfume 60 ML + Mandarin Sky","active"
"set-bolso-crema-perfume-60-ml-odyssey-candee","Set Bolso + Crema + Perfume 60 ML + Odyssey Candee","<p>Set Bolso + Crema + Perfume 60 ML + Odyssey Candee: una fragancia gourmand de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Set de Regalo","set, dama, gourmand, armaf","TRUE","Title","Default Title","shopify","7","deny","manual","210000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Set Bolso + Crema + Perfume 60 ML + Odyssey Candee","active"
"set-bolso-crema-perfume-60-ml-yum-yum","Set Bolso + Crema + Perfume 60 ML + Yum Yum","<p>Set Bolso + Crema + Perfume 60 ML + Yum Yum: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Set de Regalo","set, dama, gourmand, lattafa","TRUE","Title","Default Title","shopify","9","deny","manual","210000.00","263000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Set Bolso + Crema + Perfume 60 ML + Yum Yum","active"
"kit-crema-splash-perfume-club-de-nuit-30ml","Kit Crema + Splash + Perfume Club de Nuit + 30ML","<p>Kit Crema + Splash + Perfume Club de Nuit + 30ML: una fragancia amaderada de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Set de Regalo","set, caballero, amaderado, armaf","TRUE","Title","Default Title","shopify","14","deny","manual","190000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Kit Crema + Splash + Perfume Club de Nuit + 30ML","active"
"kit-crema-splash-perfume-mandarin-sky","Kit Crema + Splash + Perfume Mandarin Sky","<p>Kit Crema + Splash + Perfume Mandarin Sky: una fragancia fresca de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Set de Regalo","set, unisex, fresco, armaf","TRUE","Title","Default Title","shopify","4","deny","manual","170000.00","213000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Kit Crema + Splash + Perfume Mandarin Sky","active"
"kit-crema-splash-perfume-le-male-elixir","Kit Crema + Splash + Perfume Le Male Elixir","<p>Kit Crema + Splash + Perfume Le Male Elixir: una fragancia oriental de Jean Paul Gaultier. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Jean Paul Gaultier","Set de Regalo","set, caballero, oriental, jean-paul-gaultier","TRUE","Title","Default Title","shopify","4","deny","manual","170000.00","213000.00","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Jean%20Paul%20Gaultier","1","Kit Crema + Splash + Perfume Le Male Elixir","active"
"kit-crema-splash-perfume-le-beau-parfum","Kit Crema + Splash + Perfume Le Beau Parfum","<p>Kit Crema + Splash + Perfume Le Beau Parfum: una fragancia amaderada de Jean Paul Gaultier. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Jean Paul Gaultier","Set de Regalo","set, caballero, amaderado, jean-paul-gaultier","TRUE","Title","Default Title","shopify","6","deny","manual","170000.00","","TRUE","TRUE","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Jean%20Paul%20Gaultier","1","Kit Crema + Splash + Perfume Le Beau Parfum","active"
